Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g)
paleo,Bone Broth From 'Nom Nom Paleo',american,-0.8688068683376754,-0.8113873571973671,-0.934787989036069
paleo,"Paleo Effect Asian-Glazed Pork Sides, A Sweet & Crispy Appetizer",south east asian,1.0949641125286091,-0.6643692063380321,0.23598483114623384
paleo,Paleo Pumpkin Pie,american,-0.5826997028045566,0.8094164793894465,-0.16846991812340448
paleo,Strawberry Guacamole recipes,mexican,-0.8198044733067014,-0.41067817104618304,-0.47045952131440427
paleo,"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",chinese,-0.4832471147076024,-0.5274104752411178,-0.374956435520885
paleo,Paleo Shrimp-Stuffed Mushrooms recipes,mediterranean,-0.16272690357318584,-0.6346212965593229,-0.6133865236383247
paleo,Paleo Pumpkin Pie recipes,american,-0.5925001818107514,0.6657335372213955,-0.16093451169715764
paleo,Autoimmune Paleo Pesto,italian,-0.8796096690604129,-0.7422086736975116,-0.3638990456562836
paleo,Baked Banana Chip Encrusted French Toast,french,0.7756689612699669,9.2654077666311,2.1989582051835277
paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),south east asian,5.787611651222068,0.6603003746759171,2.3153474718324047
paleo,Paleo Collard Burrito,mexican,-0.4300126946512261,-0.6641540315837557,-0.31835898073244434
paleo,Paleo Chawanmushi (Savory Egg Custard) recipes,american,-0.2428012718169821,-0.7468349309144539,-0.759507883034241
paleo,‘paleo' banana bread,american,-0.40695929517074514,0.21741693668656292,0.3206762468499208
paleo,Leftover Turkey Sandwich recipes,american,-0.32454617625501603,-0.6302102140966572,-0.8455098042033623
paleo,Paleo Pumpkin Waffles,american,-0.3562863639455333,-0.3361739123779873,-0.31901423346516145
paleo,Fudgy Paleo Brownies,french,-0.21094971504684892,0.599943856101393,0.48350655093012374
paleo,Magic Wings recipes,american,2.645333069860858,-0.6657678422408286,1.1097643502245051
paleo,Turkey Club Sandwich,american,-0.40439780633958056,-0.6034747508778173,-0.8004611788290606
paleo,Easy Paleo Meatloaf,american,1.1444119838780467,-0.561085324285371,1.173815304847603
paleo,Paleo Crepes,french,-0.751757965661417,-0.7327409845093511,-0.5583452940900872
paleo,Chocolate Pecan Pie recipes,american,-0.26028621731667057,2.233873352699066,1.666237733484514
paleo,Simple Crab Salad recipes,american,-0.012601384251020043,-0.7927747409524605,-0.7952191569673238
paleo,Chocolate Pecan Pie,american,-0.3177526623984492,1.8895937458568617,1.6609957116227771
paleo,Asian Meatballs recipes,indian,0.9337016852448581,-0.5218697253185012,0.7601870173199248
paleo,Blueberry French Toast Casserole,french,-0.05169193119618332,0.7422281623666479,-0.2652016027907684
paleo,Paleo Spanish Rice,mediterranean,-0.607646376638507,-0.47334781822917804,-0.6521283414602241
paleo,Whole30® Sriracha,south east asian,-0.7915167270842756,-0.35688448247708865,-0.9371632801921685
paleo,Banana Cream Pie,american,-0.7281477207828568,0.34194932572401643,1.5310099507700197
paleo,Spicy Salmon Cucumber Bites recipes,nordic,-0.3718780350917523,-0.725801598683938,-0.3416204527439018
paleo,Blueberry French Toast Casserole recipes,french,-0.05169193119618332,0.7422281623666479,-0.2652016027907684
paleo,Paleo Honey Cake,eastern europe,0.04553327530845369,0.5708952642740821,1.1621026622502846
paleo,Chocolate Pumpkin Pie recipes,central europe,-0.4363607321893296,1.4931342611026361,0.3722773995513936
paleo,Paleo Creamy Alfredo,american,-0.7434052846902282,-0.6437124299274999,-0.21269947758180968
paleo,Paleo Blini recipes,eastern europe,-0.7543194544925815,-0.7495784090314777,-0.7702376465324837
paleo,Paleo Tzimmes,kosher,-0.7475259406360147,0.4559381518019274,-0.9293821539911529
paleo,Paleo Pumpkin Bars,american,-0.4844721745833768,0.09084038748348384,0.005090149455041013
paleo,Paleo Fruitcake,american,-0.008703466464465195,0.6420643142509941,0.7173498699185435
paleo,Paleo Chocolate Frosting,american,-0.7689088039222579,-0.36011210379123426,0.2697303468811652
paleo,Paleo Crepes recipes,french,-0.6220129879089517,-0.766846183062157,-0.45424201617965576
